DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2023-01-01,23 °C,26.5 °C,31 °C,0.6 mm,—,,8.9 km/h,—,1012.8 hPa,—
2023-01-02,23 °C,26.9 °C,32 °C,0 mm,—,,6.4 km/h,—,1013.1 hPa,—
2023-01-03,24 °C,28.2 °C,33 °C,1 mm,—,,9.7 km/h,—,1012.4 hPa,—
2023-01-04,24 °C,27.8 °C,33 °C,0.1 mm,—,,13.4 km/h,—,1011.6 hPa,—
2023-01-05,24 °C,25.1 °C,28 °C,5.8 mm,—,,17.2 km/h,—,1011.4 hPa,—
2023-01-06,22 °C,26.4 °C,30 °C,18.3 mm,—,,15.2 km/h,—,1011.1 hPa,—
2023-01-07,24 °C,25.4 °C,29 °C,1.9 mm,—,,13.6 km/h,—,1010.3 hPa,—
2023-01-08,23 °C,26.4 °C,29 °C,4.3 mm,—,,6.7 km/h,—,1010.8 hPa,—
2023-01-09,25 °C,26.6 °C,31 °C,23.6 mm,—,,7.7 km/h,—,1011.6 hPa,—
2023-01-10,24 °C,26.5 °C,29 °C,16.2 mm,—,,12.2 km/h,—,1011.2 hPa,—
2023-01-11,25 °C,27.2 °C,30 °C,0.7 mm,—,,10.4 km/h,—,1010.7 hPa,—
2023-01-12,25 °C,27.4 °C,31 °C,3.8 mm,—,,12.4 km/h,—,1010.7 hPa,—
2023-01-13,24 °C,28.2 °C,32 °C,4.6 mm,—,,8 km/h,—,1010.8 hPa,—
2023-01-14,25 °C,28.5 °C,33 °C,0.1 mm,—,,7.3 km/h,—,1009 hPa,—
2023-01-15,25 °C,28.8 °C,33 °C,0 mm,—,,7.4 km/h,—,1008.2 hPa,—
2023-01-16,25 °C,28.1 °C,34 °C,0.2 mm,—,,8.9 km/h,—,1010.5 hPa,—
2023-01-17,23 °C,27.4 °C,32 °C,0.1 mm,—,,7.3 km/h,—,1011.1 hPa,—
2023-01-18,23 °C,27.3 °C,32 °C,0 mm,—,,7.4 km/h,—,1012.3 hPa,—
2023-01-19,24 °C,27.8 °C,33 °C,0 mm,—,,8 km/h,—,1011.6 hPa,—
2023-01-20,23 °C,27.9 °C,33 °C,0 mm,—,,7.7 km/h,—,1011.2 hPa,—
2023-01-21,24 °C,29.3 °C,34 °C,0 mm,—,,6.2 km/h,—,1010 hPa,—
2023-01-22,25 °C,28.9 °C,33 °C,0.1 mm,—,,6.4 km/h,—,1009.2 hPa,—
2023-01-23,25 °C,29.1 °C,34 °C,0.2 mm,—,,7.4 km/h,—,1008.5 hPa,—
2023-01-24,24 °C,27.8 °C,35 °C,0.7 mm,—,,9 km/h,—,1009.4 hPa,—
2023-01-25,23 °C,26.6 °C,32 °C,0 mm,—,,9.1 km/h,—,1009.7 hPa,—
2023-01-26,23 °C,27.2 °C,32 °C,0 mm,—,,6.8 km/h,—,1009.9 hPa,—
2023-01-27,24 °C,27.3 °C,33 °C,1.2 mm,—,,6.9 km/h,—,1009.5 hPa,—
2023-01-28,23 °C,26.8 °C,32 °C,0 mm,—,,10.8 km/h,—,1009.3 hPa,—
2023-01-29,23 °C,25.4 °C,30 °C,0 mm,—,,9.2 km/h,—,1010.7 hPa,—
2023-01-30,21 °C,25.4 °C,30 °C,0 mm,—,,9.4 km/h,—,1011.7 hPa,—
2023-01-31,21 °C,27.7 °C,33 °C,0 mm,—,,7.3 km/h,—,1010.2 hPa,—
2023-02-01,24 °C,27.6 °C,31 °C,0.4 mm,—,,7.2 km/h,—,1009.5 hPa,—
2023-02-02,24 °C,27.8 °C,32 °C,2.5 mm,—,,7.5 km/h,—,1009.9 hPa,—
2023-02-03,25 °C,29.2 °C,34 °C,0 mm,—,,12.4 km/h,—,1010.3 hPa,—
2023-02-04,24 °C,28.9 °C,35 °C,0 mm,—,,12.6 km/h,—,1009.5 hPa,—
2023-02-05,24 °C,28.9 °C,34 °C,0 mm,—,,8.9 km/h,—,1009 hPa,—
2023-02-06,25 °C,29.1 °C,34 °C,0 mm,—,,12.4 km/h,—,1009.5 hPa,—
2023-02-07,26 °C,28.6 °C,34 °C,0.6 mm,—,,13.9 km/h,—,1009.9 hPa,—
2023-02-08,25 °C,29.2 °C,35 °C,0.4 mm,—,,7.5 km/h,—,1009.7 hPa,—
2023-02-09,26 °C,29.4 °C,35 °C,0.5 mm,—,,14.4 km/h,—,1009.4 hPa,—
2023-02-10,26 °C,29.2 °C,35 °C,0 mm,—,,14.2 km/h,—,1010 hPa,—
