Date,H,COCO,TEMP,DWPT,TSUN,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,RHUM
2024-05-27,00,,30 °C,27 °C,—,0 mm,—,,11 km/h,—,1008 hPa,84 %
2024-05-27,01,,30 °C,28 °C,—,0 mm,—,,13 km/h,—,1008 hPa,89 %
2024-05-27,02,,29 °C,27.9 °C,—,0 mm,—,,11 km/h,—,1008 hPa,94 %
2024-05-27,03,,29 °C,27.9 °C,—,0 mm,—,,11 km/h,—,1007 hPa,94 %
2024-05-27,04,,29 °C,27.9 °C,—,0 mm,—,,9 km/h,—,1008 hPa,94 %
2024-05-27,05,,29 °C,27.9 °C,—,0 mm,—,,9 km/h,—,1008 hPa,94 %
2024-05-27,06,,29 °C,27.9 °C,—,0 mm,—,,7 km/h,—,1008 hPa,94 %
2024-05-27,07,,31 °C,29 °C,—,0 mm,—,,11 km/h,—,1009 hPa,89 %
2024-05-27,08,,32 °C,29 °C,—,0 mm,—,,13 km/h,—,1009 hPa,84 %
2024-05-27,09,,33 °C,28 °C,—,0 mm,—,,11 km/h,—,1009 hPa,75 %
2024-05-27,10,,34 °C,27 °C,—,0 mm,—,,7 km/h,—,1008 hPa,67 %
2024-05-27,11,,36 °C,24.9 °C,—,0 mm,—,,7 km/h,—,1008 hPa,53 %
2024-05-27,12,,36 °C,23.9 °C,—,0 mm,—,,9 km/h,—,1007 hPa,50 %
2024-05-27,13,,36 °C,23.9 °C,—,0 mm,—,,6 km/h,—,1006 hPa,50 %
2024-05-27,14,,37 °C,24.9 °C,—,0 mm,—,,9 km/h,—,1005 hPa,50 %
2024-05-27,15,,37 °C,24.2 °C,—,0 mm,—,,13 km/h,—,1004 hPa,48 %
2024-05-27,16,,36 °C,24.9 °C,—,0.7 mm,—,,17 km/h,—,1004 hPa,53 %
2024-05-27,17,,35 °C,26.1 °C,—,0.8 mm,—,,19 km/h,—,1004 hPa,60 %
2024-05-27,18,,31 °C,26.9 °C,—,0.4 mm,—,,15 km/h,—,1006 hPa,79 %
2024-05-27,19,,29 °C,27.9 °C,—,0 mm,—,,11 km/h,—,1007 hPa,94 %
2024-05-27,20,,29 °C,27 °C,—,0 mm,—,,6 km/h,—,1007 hPa,89 %
2024-05-27,21,,29 °C,27 °C,—,0 mm,—,,17 km/h,—,1007 hPa,89 %
2024-05-27,22,,29 °C,27 °C,—,0 mm,—,,11 km/h,—,1008 hPa,89 %
2024-05-27,23,,27.8 °C,25.6 °C,—,0 mm,—,,5.5 km/h,—,1008.3 hPa,88 %
2024-05-28,00,,29 °C,27 °C,—,0 mm,—,,15 km/h,—,1008 hPa,89 %
2024-05-28,01,,29 °C,27.9 °C,—,2.6 mm,—,,15 km/h,—,1007 hPa,94 %
2024-05-28,02,,26.9 °C,25.7 °C,—,7.8 mm,—,,3.7 km/h,—,1007.8 hPa,93 %
2024-05-28,03,,29 °C,27.9 °C,—,5.5 mm,—,,9 km/h,—,1007 hPa,94 %
2024-05-28,04,,29 °C,27.9 °C,—,10.1 mm,—,,13 km/h,—,1007 hPa,94 %
2024-05-28,05,,29 °C,27.9 °C,—,0.9 mm,—,,13 km/h,—,1007 hPa,94 %
2024-05-28,06,,29 °C,27.9 °C,—,6 mm,—,,11 km/h,—,1008 hPa,94 %
2024-05-28,07,,27.2 °C,26.1 °C,—,0.2 mm,—,,3.7 km/h,—,1008.2 hPa,94 %
2024-05-28,08,,30 °C,28 °C,—,0.3 mm,—,,13 km/h,—,1008 hPa,89 %
2024-05-28,09,,31 °C,28 °C,—,0.1 mm,—,,7 km/h,—,1009 hPa,84 %
2024-05-28,10,,32 °C,26.1 °C,—,0 mm,—,,4 km/h,—,1009 hPa,71 %
2024-05-28,11,,32 °C,27 °C,—,0 mm,—,,4 km/h,—,1009 hPa,75 %
2024-05-28,12,,31 °C,28 °C,—,0 mm,—,,11 km/h,—,1007 hPa,84 %
